%    atsl_version	                 1.0
%         rectime	             300.000
%  ephys_filename	 2006_10_02_0000.abf
%      ephys_chan	          IN 0 extra
%    ev_threshold	            -0.05423
% burst_interval1	              100.00
% burst_interval2	              500.00
%     burst_minev	                   3
%   silentper_dur	             2000.00
% silentper_maxev	                   1
%    data_quality	                 NaN
%         comment	generated by burstdetguifunc
  63.9736        0
  63.9782        0
  63.9790        0
  63.9817        0
  63.9831        0
  63.9847        0
  63.9874        0
  63.9917        0
  63.9972        0
  63.9976        0
  64.0019        0
  64.0068        0
  64.0179        0
  64.0228        0
  64.0290        0
  64.0387        0
  64.0458        0
  64.0468        0
  64.0470        0
  64.0576        0
  64.0649        0
  64.0775        0
  64.0838        0
  64.0947        0
  64.1022        0
  64.1048        0
  64.1105        0
  64.1175        0
  64.1256        0
  64.1270        0
  64.1343        0
  64.1393        0
  64.1484        0
  64.1508        0
  64.1587        0
  64.1740        0
  64.1752        0
  64.1826        0
  64.1922        0
  64.1962        0
  64.2065        0
  64.2164        0
  64.2262        0
  64.2453        0
  64.2691        0
  64.2801        0
  64.3028        0
  64.3106        0
  64.3223        0
  64.3293        0
  64.3342        0
  64.3710        0
  64.3824        0
  64.3923        0
  64.4016        0
  64.4051        0
  64.4271        0
  64.4391        0
  64.4548        0
  64.4837        0
  64.4976        0
  64.5003        0
  64.5106        0
  64.5256        0
  64.5351        0
  64.5653        0
  64.5674        0
  64.5825        0
  64.6247        0
  64.6354        0
  64.6519        0
  64.6823        0
  64.6946        0
  64.7009        0
  64.7136        0
  64.7473        0
  64.7530        0
  64.7617        0
  64.7798        0
  64.8061        0
  64.8142        0
  64.8219        0
  64.8331        0
  64.8529        0
  64.9019        0
  64.9050        0
  64.9153        0
  64.9244        0
  64.9260        0
  64.9312        0
  64.9406        0
  64.9615        0
  64.9758        0
  64.9761        0
  64.9780        0
  65.0066        0
  65.0101        0
  65.0218        0
  65.0303        0
  65.0382        0
  65.0792        0
  65.0902        0
  65.1232        0
  65.1363        0
  65.1443        0
  65.1528        0
  65.1561        0
  65.1651        0
  65.1719        0
  65.1787        0
  65.2014        0
  65.2134        0
  65.2215        0
  65.3074        0
  65.3167        0
  65.3227        0
  65.3293        0
  65.3328        0
  65.3542        0
  65.3653        0
  65.3775        0
  65.4150        0
  65.4250        0
  65.4406        0
  65.4666        0
  65.4795        0
  65.4867        0
  65.4981        0
  65.5157        0
  65.5307        0
  65.5466        0
  65.5660        0
  65.5718        0
  65.5796        0
  65.5852        0
  65.5854        0
  65.5897        0
  65.6187        0
  65.6948        0
  65.7068        0
  65.7350        0
  65.7352        0
  65.7430        0
  65.7569        0
  65.7770        0
  65.7791        0
  65.7908        0
  65.7996        0
  65.8064        0
  65.8262        0
  65.8405        0
  65.8686        0
  65.8756        0
  65.8779        0
  65.8813        0
  65.8846        0
  65.8898        0
  65.8967        0
  65.9179        0
  65.9365        0
  65.9558        0
  65.9660        0
  65.9896        0
  65.9959        0
  66.0018        0
  66.0083        0
  66.0153        0
  66.0230        0
  66.0334        0
  66.0493        0
  66.0721        0
  66.0952        0
  66.0974        0
  66.1189        0
  66.1306        0
  66.1474        0
  66.1572        0
  66.2151        0
  66.2178        0
  66.2272        0
  66.2362        0
  66.2656        0
  66.2696        0
  66.2856        0
  66.2996        0
  66.2999        0
  66.3164        0
  66.3385        0
  66.3737        0
  66.3869        0
  66.3968        0
  66.4066        0
  66.4151        0
  66.4264        0
  66.5053        0
  66.5557        0
  66.6290        0
  66.6390        0
  66.6946        0
  66.7111        0
  66.7211        0
  66.7213        0
  66.7224        0
  66.7277        0
  66.7332        0
  66.7374        0
  66.7405        0
  66.7469        0
